price_id,fund_id,valuation_date,nav_price,currency_code,price_source,created_at
1,1,2026-01-01,23.902,USD,DEMO_NAV,2026-01-01T18:00:00
2,2,2026-01-01,220.7223,USD,DEMO_NAV,2026-01-01T18:00:00
3,3,2026-01-01,237.2679,USD,DEMO_NAV,2026-01-01T18:00:00
4,1,2026-01-02,30.5568,USD,DEMO_NAV,2026-01-02T18:00:00
5,2,2026-01-02,126.6377,USD,DEMO_NAV,2026-01-02T18:00:00
6,3,2026-01-02,26.611,USD,DEMO_NAV,2026-01-02T18:00:00
7,1,2026-01-03,192.5445,USD,DEMO_NAV,2026-01-03T18:00:00
8,2,2026-01-03,193.8003,USD,DEMO_NAV,2026-01-03T18:00:00
9,3,2026-01-03,40.814,USD,DEMO_NAV,2026-01-03T18:00:00
10,1,2026-01-04,124.0678,USD,DEMO_NAV,2026-01-04T18:00:00
11,2,2026-01-04,141.9529,USD,DEMO_NAV,2026-01-04T18:00:00
12,3,2026-01-04,73.6136,USD,DEMO_NAV,2026-01-04T18:00:00
13,1,2026-01-05,219.3839,USD,DEMO_NAV,2026-01-05T18:00:00
14,2,2026-01-05,111.5531,USD,DEMO_NAV,2026-01-05T18:00:00
15,3,2026-01-05,60.8316,USD,DEMO_NAV,2026-01-05T18:00:00
16,1,2026-01-06,139.4311,USD,DEMO_NAV,2026-01-06T18:00:00
17,2,2026-01-06,185.1835,USD,DEMO_NAV,2026-01-06T18:00:00
18,3,2026-01-06,58.2763,USD,DEMO_NAV,2026-01-06T18:00:00
19,1,2026-01-07,84.8119,USD,DEMO_NAV,2026-01-07T18:00:00
20,2,2026-01-07,248.8358,USD,DEMO_NAV,2026-01-07T18:00:00
21,3,2026-01-07,165.9707,USD,DEMO_NAV,2026-01-07T18:00:00
22,1,2026-01-08,115.144,USD,DEMO_NAV,2026-01-08T18:00:00
23,2,2026-01-08,134.2182,USD,DEMO_NAV,2026-01-08T18:00:00
24,3,2026-01-08,39.041,USD,DEMO_NAV,2026-01-08T18:00:00
25,1,2026-01-09,63.9274,USD,DEMO_NAV,2026-01-09T18:00:00
26,2,2026-01-09,91.1405,USD,DEMO_NAV,2026-01-09T18:00:00
27,3,2026-01-09,151.1941,USD,DEMO_NAV,2026-01-09T18:00:00
28,1,2026-01-10,65.2275,USD,DEMO_NAV,2026-01-10T18:00:00
29,2,2026-01-10,62.8522,USD,DEMO_NAV,2026-01-10T18:00:00
30,3,2026-01-10,27.0383,USD,DEMO_NAV,2026-01-10T18:00:00
31,1,2026-01-11,161.4647,USD,DEMO_NAV,2026-01-11T18:00:00
